Product_detail_id,Product_Name,Product_Price,Product_Image_URL,Product_Category,rating
3139,"Ragu Simply No Sugar Added Garden Vegetable Pasta Sauce, 680g, Product of USA",452,https://m.media-amazon.com/images/I/71ScYs95v1L._AC_UL320_.jpg,pasta sauce,4.6
3140,"Orchard Lane Organic Pizza Pasta Sauce - No Preservatives Or Chemicals, No Sugar, 200 Grams",248,https://m.media-amazon.com/images/I/61vHSJFh9PL._AC_UL320_.jpg,pasta sauce,3.3
3141,N/A,N/A,,pasta sauce,3.1
3142,veeba pasta pizza sauce 280g,83,https://m.media-amazon.com/images/I/71tzsemVDsL._AC_UL320_.jpg,pasta sauce,4.1
3143,"Wingreens Farms Pizza Pasta Sauce, 600 g",160,https://m.media-amazon.com/images/I/61e+ORQHA7L._AC_UL320_.jpg,pasta sauce,3.5
3144,Barilla Pasta Sauce - Napoletana 400 gm | Non - GMO Project Verified | Vegan | Gluten free | No added Colour or Presevatives,449,https://m.media-amazon.com/images/I/71pDf8pFoLL._AC_UL320_.jpg,pasta sauce,3.2
3145,"AtticoFresh Red Pizza Pasta Sauce, Classic Italian Marinara, 400 g | 100% Natural | Gluten Free - Vegan - Keto Friendly - Low Carb - Healthy | No Added Preservatives, Colors & Flavours | Ready to eat",299,https://m.media-amazon.com/images/I/71tDHsrhS-L._AC_UL320_.jpg,pasta sauce,3.0
3146,Habanero Creamy and Spicy White Sauce for Pasta and Pizza l Original Cheesy Pizza Pasta Sauce l 100% Vegetarian Natural Ingredients with Cheese l Ready to Eat | Ready to Cook l 350G,258,https://m.media-amazon.com/images/I/51fQAFSLQlS._AC_UL320_.jpg,pasta sauce,3.7
3147,"Knorr Kissan Sauce - Pizza & Pasta, 200g",57,https://m.media-amazon.com/images/I/619bE0+-EkL._AC_UL320_.jpg,pasta sauce,4.4
3148,N/A,N/A,,pasta sauce,3.2
3149,"AtticoFresh Basil Pesto Pizza Pasta Sauce 190 g | 100% Natural | No Added Preservatives, Colors & Flavours | Healthy - Gluten Free - Keto Friendly | Ready to eat",449,https://m.media-amazon.com/images/I/71sNYr1CdTL._AC_UL320_.jpg,pasta sauce,3.2
3150,Barilla Pasta Sauce - Arrabbiata with Chilli Peppers 400 gm - Italy | Non - GMO Project Verified | Vegan | Gluten free | No added Colour or Presevatives,449,https://m.media-amazon.com/images/I/71AyWSY8SeL._AC_UL320_.jpg,pasta sauce,3.1
3151,"Habanero Spicy Pasta Sauce l Pizza Pasta Sauce l Ready to Eat Healthy Food l Gluten Free l Vegan and Natural Ingredients l Made with Fresh Tomatoes | Use with Cheese on Pizza Base | Enjoy with Penne, Spaghetti, Fusilli, Macaroni, Hakka Noodles, Rice Noodles or whole wheat pasta |Garnish with oregano seasoning and cheese powder| 385G",219,https://m.media-amazon.com/images/I/61o98nKbZ2L._AC_UL320_.jpg,pasta sauce,4.9
3152,"MAGGI Professional Pasta Sauce Mix- White Sauce, 500g Pouch, Make Smooth, Creamy & Saucy Pasta with Flavour Notes of Herb & Cheese",425,https://m.media-amazon.com/images/I/81dvxisTg5L._AC_UL320_.jpg,pasta sauce,4.0
3153,AG PASTA SAUCE TRADITIONAL 14oz,245,https://m.media-amazon.com/images/I/71TQ5jo7YWS._AC_UL320_.jpg,pasta sauce,4.3
3154,"Barilla Basilico Pasta and Pizza Sauce, 400g, Italy | Non - GMO Project Verified | Vegan | Gluten free | No added Colour or Presevatives",449,https://m.media-amazon.com/images/I/71uJ9hp7EFL._AC_UL320_.jpg,pasta sauce,4.0
3155,"Veeba Cheesy Pasta Suace (Creamy Alfredo), 250g",109,https://m.media-amazon.com/images/I/71z3Nx15zpL._AC_UL320_.jpg,pasta sauce,3.3
3156,"Ragu Simply No Sugar Added Garden Vegetable Pasta Sauce, 680g, Product of USA",452,https://m.media-amazon.com/images/I/71ScYs95v1L._AC_UL320_.jpg,pasta sauce,4.0
3157,Ragu Parmesan and Romano Pasta Sauce (Product of USA) (Pack of 1),452,https://m.media-amazon.com/images/I/71UYcdoqDjL._AC_UL320_.jpg,pasta sauce,3.9
3158,"Ragu Simply No Sugar Added Traditional Pasta Sauce, 680g, Product of USA",470,https://m.media-amazon.com/images/I/71xcmDY1rhL._AC_UL320_.jpg,pasta sauce,3.7
3159,"Ragu Mama's Special Garden Pasta Sauce, 680g",452,https://m.media-amazon.com/images/I/71IpDU6XlUL._AC_UL320_.jpg,pasta sauce,3.4
3160,"Ragu Roasted Garlic Pasta Sauce, 680g",452,https://m.media-amazon.com/images/I/71iNxokx2IL._AC_UL320_.jpg,pasta sauce,3.4
3161,"Veeba Pasta and Pizza Sauce - No Onion No Garlic,280g.",94,https://m.media-amazon.com/images/I/71h0HdMadDL._AC_UL320_.jpg,pasta sauce,4.7
